"id","title","manufacturer","color","memory","price_regular","price_sale","images","product_code","reviews_count","screen_diagonal","screen_resolution","characteristics","created_at"
2,"Test Nokia","Test Finland","red","256GB","7000","5000","[""https://example.com/image.jpg""]","test-nokia-001",15,"6.9","2868x1320","{""test"": ""ok""}","2026-05-03 22:49:39.957861+00"
3,"Мобільний телефон Apple iPhone 15 128GB Black (MTP03)","Apple","чорний","128 Gb","32 999",NULL,"[""https://brain.com.ua/static/images/prod_img/8/9/U0854689_1739047983.jpg"", ""https://brain.com.ua/static/images/prod_img/8/9/U0854689_2_1739047984.jpg"", ""https://brain.com.ua/static/images/prod_img/8/9/U0854689_3_1739047986.jpg""]","U0854689",1,"6.1""","1179 х 2556","{""Вага"": ""171 г"", ""Колір"": ""чорний"", ""Модель"": ""iPhone 15 128GB Black"", ""Артикул"": ""MTP03"", ""Безпека"": ""FaceID"", ""Виробник"": ""Apple"", ""Примітка"": ""Виробник може змінювати властивості, характеристики, зовнішній вигляд і комплектацію товарів без попередження"", ""Процесор"": ""Apple A16 Bionic"", ""Штрихкод"": ""195949036019"", ""Навігація"": ""iBeacon, QZSS, Galileo, BeiDou, GPS, A-GPS"", ""Оснащення"": ""пило/вологозахист, гіроскоп, бездротове заряджання"", ""Органайзер"": ""календар, годинник, світовий час, будильник, калькулятор, нотатки, секундомір, диктофон, телефонна книга"", ""Розміри (мм)"": ""147.6 x 71.6 x 7.80 мм"", ""Стан товару"": ""Новий"", ""Тип дисплея"": ""OLED"", ""Форм-фактор"": ""моноблок"", ""Мультимедіа"": ""музичний плеєр, відеоплеєр, соціальні мережі, мобільні сервіси Google, ігри"", ""Особливості"": ""IP68 certified"", ""Гарантія, міс"": ""12"", ""Кількість ядер"": ""6 core"", ""Основна камера"": ""48 + 12 Mpx"", ""Формат SIM-карти"": ""Nano, e-sim"", ""Функції камери"": ""автофокус, спалах, геотегінг, панорама, розпізнавання обличчя"", ""Діагональ екрану"": ""6.1\"""", ""Кількість SIM-карт"": ""1 SIM + e-sim"", ""Вбудована пам'ять"": ""128 Gb"", ""Вбудовані датчики"": ""акселерометр, компас, датчик освітлення, датчик наближення, гіроскоп, барометр"", ""Фронтальна камера"": ""12 Mpx"", ""Метод стабілізації"": ""оптична"", ""Операційна система"": ""iOS 17"", ""Особливості корпусу"": ""водонепроникні"", ""Бездротові підключення"": ""WI-FI, Bluetooth, NFC"", ""Інтерфейси і підключення"": ""USB Type-C"", ""Частота оновлення екрану"": ""60 Гц"", ""Покоління зв'язку (2G /3G/4G/5G)"": ""2G, 3G, 4G, 5G"", ""Діафрагма основної камери"": ""f/1.6 + f/2.4"", ""Роздільна здатність екрану"": ""1179 х 2556"", ""Запис відео основної камери"": ""4K / 3840x2160 / стереозвук"", ""Діафрагма фронтальної камери"": ""f/1.9"", ""Кількість модулів основної камери"": ""2"", ""Кількість модулів фронтальної камери"": ""1""}","2026-05-04 01:07:13.752105+00"
